Model,,precision,recall,f1-score,support
densenet121,Normal,0.9799599198396792,0.9625984251968503,0.971201588877855,508.0
densenet121,Pneumonia,0.958904109589041,0.9836065573770492,0.9710982658959536,427.0
densenet121,TB,0.9971181556195964,0.991404011461318,0.9942528735632185,349.0
densenet121,accuracy,0.9774143302180686,0.9774143302180686,0.9774143302180686,0.9774143302180686
densenet121,macro avg,0.9786607283494392,0.9792029980117392,0.9788509094456757,1284.0
densenet121,weighted avg,0.977621441109281,0.9774143302180686,0.9774327255148644,1284.0
efficientnet_b0,Normal,0.9818548387096774,0.9586614173228346,0.9701195219123506,508.0
efficientnet_b0,Pneumonia,0.9699769053117784,0.9836065573770492,0.9767441860465116,427.0
efficientnet_b0,TB,0.9774647887323944,0.994269340974212,0.9857954545454546,349.0
efficientnet_b0,accuracy,0.9766355140186916,0.9766355140186916,0.9766355140186916,0.9766355140186916
efficientnet_b0,macro avg,0.9764321775846166,0.9788457718913652,0.9775530541681056,1284.0
efficientnet_b0,weighted avg,0.9767115326325944,0.9766355140186916,0.9765834098206372,1284.0
efficientnet_b4,Normal,0.9718875502008032,0.952755905511811,0.9622266401590456,508.0
efficientnet_b4,Pneumonia,0.9631336405529954,0.9789227166276346,0.9709639953542394,427.0
efficientnet_b4,TB,0.9744318181818182,0.982808022922636,0.978601997146933,349.0
efficientnet_b4,accuracy,0.969626168224299,0.969626168224299,0.969626168224299,0.969626168224299
efficientnet_b4,macro avg,0.9698176696452055,0.9714955483540272,0.9705975442200728,1284.0
efficientnet_b4,weighted avg,0.9696679474794327,0.969626168224299,0.96958322135618,1284.0
resnet101,Normal,0.9895397489539748,0.9311023622047244,0.9594320486815416,508.0
resnet101,Pneumonia,0.9336283185840708,0.9882903981264636,0.9601820250284414,427.0
resnet101,TB,0.9858757062146892,1.0,0.992887624466572,349.0
resnet101,accuracy,0.968847352024922,0.968847352024922,0.968847352024922,0.968847352024922
resnet101,macro avg,0.9696812579175784,0.973130920110396,0.9708338993921848,1284.0
resnet101,weighted avg,0.9699502382966854,0.968847352024922,0.9687749114923684,1284.0
resnet50,Normal,0.9878048780487804,0.9566929133858268,0.972,508.0
resnet50,Pneumonia,0.9546485260770976,0.9859484777517564,0.9700460829493088,427.0
resnet50,TB,0.9943019943019944,1.0,0.9971428571428572,349.0
resnet50,accuracy,0.9781931464174456,0.9781931464174456,0.9781931464174456,0.9781931464174456
resnet50,macro avg,0.978918466142624,0.9808804637125278,0.9797296466973888,1284.0
resnet50,weighted avg,0.97854454415506,0.9781931464174456,0.9781842169487632,1284.0
